seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_bmi
322,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.446287103,0.289535697,0,0,0.142857143,10.00000001,0,1,1
323,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.597837001,0.36519157,0,0,10.00000001,15.00000002,0,1,1
324,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.452793967,0,0,0.142857143,0.214285715,0,1,1
325,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,0.142857143,0,1,1
326,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.235722334,0.233747636,0,0,0,1.861904762,0,1,1
327,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.713349888,0.27130637,0,0,0,1.861904762,0,1,1
328,102,drugs_alcohol,493,cvd_ihd,309679,9023,0,continuous,gday,-0.994252273,1.018541048,0,0,0,1.861904762,0,1,1
329,102,drugs_alcohol,493,cvd_ihd,309681,9023,0,continuous,gday,-0.385662481,0.387211918,0,0,0.01,18,0,1,1
330,102,drugs_alcohol,493,cvd_ihd,309681,9023,0,continuous,gday,-0.94160854,0.425152124,0,0,18.01,36,0,1,1
331,102,drugs_alcohol,493,cvd_ihd,309681,9023,0,continuous,gday,-0.494296322,0.524605108,0,0,36.01,54,0,1,1
332,102,drugs_alcohol,493,cvd_ihd,309681,9023,0,continuous,gday,-0.15082289,0.751132393,0,0,54,81,0,1,1
333,102,drugs_alcohol,493,cvd_ihd,309705,9023,0,continuous,gday,0.39877612,0.242432799,0,0,10.33333332,15.49999998,1,1,1
334,102,drugs_alcohol,493,cvd_ihd,309706,9023,0,continuous,gday,-0.634878272,0.146377659,0,0,0,10,1,1,1
335,102,drugs_alcohol,493,cvd_ihd,309706,9023,0,continuous,gday,-0.798507696,0.17682326,0,0,10,20,1,1,1
336,102,drugs_alcohol,493,cvd_ihd,309706,9023,0,continuous,gday,-0.820980552,0.197242318,0,0,20,30,1,1,1
337,102,drugs_alcohol,493,cvd_ihd,309682,9023,0,continuous,gday,-0.210721031,0.156935112,0,0,0.78924,11.04936,0,1,1
338,102,drugs_alcohol,493,cvd_ihd,309682,9023,0,continuous,gday,-0.385662481,0.280258237,0,0,11.8386,30.78036,0,1,1
339,102,drugs_alcohol,493,cvd_ihd,309682,9023,0,continuous,gday,-0.798507696,0.299891156,0,0,31.5696,47.3544,0,1,1
340,102,drugs_alcohol,493,cvd_ihd,309682,9023,0,continuous,gday,-0.510825624,0.260625318,0,0,0.78924,11.04936,0,1,1
