seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
88,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.657520002916794,0.297753457352714,1.42857142857143,5,0,1.42857142857143,0,0,0
89,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.0861776962410524,0.354824823208211,1.42857142857143,5,5,10,0,0,0
90,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.392042087776024,0.338076140442225,1.42857142857143,5,10,20,0,0,0
91,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,0.173953307123438,0.377145318884616,1.42857142857143,5,20,40,0,0,0
92,102,drugs_alcohol,417,neo_liver,528708,9023,0,continuous,gday,1.10525683138678,0.360821079079274,1.42857142857143,5,40,60,0,0,0
93,102,drugs_alcohol,417,neo_liver,527721,9023,0,continuous,gday,0.553885113226438,0.394786354264289,1.71428571428571,12.8571428571429,0,0,1,0,1
94,102,drugs_alcohol,417,neo_liver,527721,9023,0,continuous,gday,0.667829372575655,0.475710358225241,1.71428571428571,12.8571428571429,12.8585714285714,36,1,0,1
95,102,drugs_alcohol,417,neo_liver,527721,9023,0,continuous,gday,0.688134638736401,0.503395184500874,1.71428571428571,12.8571428571429,36.0014285714286,72,1,0,1
96,102,drugs_alcohol,417,neo_liver,527721,9023,0,continuous,gday,1.25276296849537,0.468368410975972,1.71428571428571,12.8571428571429,72.0014285714286,108.002142857143,1,0,1
97,102,drugs_alcohol,417,neo_liver,527737,9023,0,continuous,gday,-0.105360515657826,1.0903412430262,1,19,20,39,1,0,1
98,102,drugs_alcohol,417,neo_liver,527737,9023,0,continuous,gday,0.908258560176891,0.456660189078975,1,19,40,69,1,0,1
99,102,drugs_alcohol,417,neo_liver,527737,9023,0,continuous,gday,2.53449014997683,0.406952366694424,1,19,70,105,1,0,1
100,102,drugs_alcohol,417,neo_liver,450726,9023,0,continuous,gday,0.307484699747961,0.218997745149319,1,11.8,11.8,17.7,1,1,1
101,102,drugs_alcohol,417,neo_liver,328239,9023,0,continuous,gday,0.148420005118273,0.0638327831420614,0,0,0.142857142857143,17.7285714285714,1,0,1
102,102,drugs_alcohol,417,neo_liver,328239,9023,0,continuous,gday,0.22314355131421,0.0610279819045495,0,0,17.7428571428571,26.6142857142857,1,0,1
103,102,drugs_alcohol,417,neo_liver,528660,9023,0,continuous,gday,0.182321556793955,0.187359945587036,1,5.32,5.33,20.44,0,0,1
104,102,drugs_alcohol,417,neo_liver,528660,9023,0,continuous,gday,0.418710334858185,0.183942849152302,1,5.32,20.45,30.675,0,0,1
